curie,label,retrieved_at
CHEBI:15377,water,2026-06-08T21:31:24.816028
CHEBI:8806,Resazurin,2026-06-08T21:31:24.816035
CHEBI:52891,QSY9 succinimidyl ester(1+),2026-06-08T21:31:24.816038
CHEBI:17883,hydrogen chloride,2026-06-08T21:31:24.816040
CHEBI:16526,carbon dioxide,2026-06-08T21:31:24.816043
CHEBI:17997,dinitrogen,2026-06-08T21:31:24.816045
CHEBI:15956,biotin,2026-06-08T21:31:24.816048
CHEBI:16236,ethanol,2026-06-08T21:31:24.816050
CHEBI:26710,sodium chloride,2026-06-08T21:31:24.816052
CHEBI:63036,potassium dihydrogen phosphate,2026-06-08T21:31:24.816055
CHEBI:62946,ammonium sulfate,2026-06-08T21:31:24.816057
CHEBI:86368,manganese(II) chloride tetrahydrate,2026-06-08T21:31:24.816060
CHEBI:35696,cobalt dichloride,2026-06-08T21:31:24.816062
CHEBI:86158,calcium chloride dihydrate,2026-06-08T21:31:24.816065
