filename,medium_name,extracted_organism,ncbi_taxon_id,ncbi_taxon_label,strain,culture_type,confidence,extraction_pattern,approve
archaea/DSMZ_1014_THIOALKALIVIBRIO_HALOPHILUS_MEDIUM.yaml,DSMZ 1014 THIOALKALIVIBRIO HALOPHILUS MEDIUM,THIOALKALIVIBRIO HALOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_1058a_THIOHALOSPIRA_HALOPHILA_MEDIUM.yaml,DSMZ 1058a THIOHALOSPIRA HALOPHILA MEDIUM,THIOHALOSPIRA HALOPHILA,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_1156_HALOPHILIC_METHANOTROPHIC_BACTERIUM_MEDIUM.yaml,DSMZ 1156 HALOPHILIC METHANOTROPHIC BACTERIUM MEDIUM,HALOPHILIC METHANOTROPHIC,,,,isolate,high,genus_species_strain_medium,TRUE
archaea/DSMZ_1225_THIOALKALIBACTER_HALOPHILUS_MEDIUM.yaml,DSMZ 1225 THIOALKALIBACTER HALOPHILUS MEDIUM,THIOALKALIBACTER HALOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_1293_SYMBIOBACTERIUM_THERMOPHILUM_MEDIUM.yaml,DSMZ 1293 SYMBIOBACTERIUM THERMOPHILUM MEDIUM,SYMBIOBACTERIUM THERMOPHILUM,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_1400_SALINIBACTER_HALOPHILIC_MEDIUM.yaml,DSMZ 1400 SALINIBACTER HALOPHILIC MEDIUM,SALINIBACTER HALOPHILIC,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_1431_ALKALOPHILIC_HALOPHILE_MEDIUM.yaml,DSMZ 1431 ALKALOPHILIC HALOPHILE MEDIUM,ALKALOPHILIC HALOPHILE,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_1742_HALOACTINOMYCES_HALOPHILUS_MEDIUM.yaml,DSMZ 1742 HALOACTINOMYCES HALOPHILUS MEDIUM,HALOACTINOMYCES HALOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_227_PEDIOCOCCUS_HALOPHILUS_MEDIUM.yaml,DSMZ 227 PEDIOCOCCUS HALOPHILUS MEDIUM,PEDIOCOCCUS HALOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_317_METHANOSARCINA_THERMOPHILA_MEDIUM.yaml,DSMZ 317 METHANOSARCINA THERMOPHILA MEDIUM,METHANOSARCINA THERMOPHILA,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_329_METHANOHALOPHILUS_HALOPHILUS_MEDIUM.yaml,DSMZ 329 METHANOHALOPHILUS HALOPHILUS MEDIUM,METHANOHALOPHILUS HALOPHILUS,,,,isolate,high,genus_species_medium,TRUE
