file_path	record_id	verdict	detail	ungrounded_siblings
archaea/JCM_J176_ACIDIANUS_BRIERLEYI_MEDIUM.yaml	CultureMech:002536	PROMOTED	0.2 g/L Yeast extract; 6 others all CHEBI-grounded	
archaea/JCM_J283_FERROPLASMA_ACIDIPHILUM_MEDIUM.yaml	CultureMech:002641	PROMOTED	0.16 g/L Yeast extract; 5 others all CHEBI-grounded	
archaea/JCM_J507_METHANOCELLA_MEDIUM.yaml	CultureMech:002857	PROMOTED	0.110619 g/L Yeast extract; 28 others all CHEBI-grounded	
archaea/JCM_J911_METHANOCELLA_CONRADII_MEDIUM.yaml	CultureMech:003260	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Sodium phosphate buffer
archaea/KOMODO_1091_HALOQUADRATUM_WALSBYI_medium.yaml	CultureMech:003742	PROMOTED	0.05 g/L Yeast extract; 11 others all CHEBI-grounded	
archaea/KOMODO_1257_METHANOCELLA_medium.yaml	CultureMech:004017	PROMOTED	0.0998004 g/L Yeast extract; 32 others all CHEBI-grounded	
archaea/KOMODO_1273_METHANOSPIRILLUM_LACUNAE_MEDIUM.yaml	CultureMech:004027	PROMOTED	0.197824 g/L Yeast extract; 33 others all CHEBI-grounded	
archaea/KOMODO_1318_METHANOCELLA_CONRADII_medium.yaml	CultureMech:004073	PROMOTED	0.199203 g/L Yeast extract; 35 others all CHEBI-grounded	
archaea/KOMODO_185_THERMOPROTEUS_medium.yaml	CultureMech:004209	PROMOTED	0.2 g/L Yeast extract; 17 others all CHEBI-grounded	
archaea/KOMODO_265_THERMOFILUM_PENDENS_medium.yaml	CultureMech:004668	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Polar lipid fraction
archaea/KOMODO_329_METHANOHALOPHILUS_HALOPHILUS_medium.yaml	CultureMech:005022	PROMOTED	0.0499002 g/L Yeast extract; 31 others all CHEBI-grounded	
archaea/KOMODO_375_METHANOHALOBIUM_medium.yaml	CultureMech:005107	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Cystein-HCl x 2 H2O
archaea/KOMODO_399_ARCHAEOGLOBUS_medium.yaml	CultureMech:005188	PROMOTED	0.494071 g/L Yeast extract; 24 others all CHEBI-grounded	
archaea/KOMODO_480d_THERMOPROTEUS_UZONIENSIS_medium.yaml	CultureMech:005602	PROMOTED	0.0998004 g/L Yeast extract; 30 others all CHEBI-grounded	
archaea/KOMODO_519_ARCHAEOGLOBUS_PROFUNDUS_medium.yaml	CultureMech:005877	PROMOTED	0.494071 g/L Yeast extract; 25 others all CHEBI-grounded	
archaea/KOMODO_883_CALDIVIRGA_medium.yaml	CultureMech:006733	PROMOTED	0.49456 g/L Yeast extract; 27 others all CHEBI-grounded	
archaea/KOMODO_991_CALDISPHAERA_medium.yaml	CultureMech:006963	PROMOTED	0.49456 g/L Yeast extract; 27 others all CHEBI-grounded	
archaea/TOGO_M1090_Methanogens_Saline_Water_Medium.yaml	CultureMech:007607	PROMOTED	0.1 g/L yeast extract; 12 others all CHEBI-grounded	
archaea/TOGO_M1183_Marine_Methanogenic_Medium.yaml	CultureMech:007709	PROMOTED	0.2 g/L Yeast extract (BD--Difco); 10 others all CHEBI-grounded	
archaea/TOGO_M1265_Modified_Cellulolytic_Haloarchaea_Medium.yaml	CultureMech:007797	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	1 M NH4Cl
archaea/TOGO_M1266_Modified_Cellulolytic_Haloarchaea_Medium.yaml	CultureMech:007798	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	1 M NH4Cl
archaea/TOGO_M1333_Thermoplasma_Kamchatkensis_Medium.yaml	CultureMech:007869	PROMOTED	0.1 g/L Yeast extract; 10 others all CHEBI-grounded	
