filename	categories	classification	evidence	ids	ingredient_counts
1_10_sabourauds_agar.yaml	bacterial,fungal	EQUIVALENT	same after normalizing ingredient labels and ignoring water	CultureMech:009437,CultureMech:010521	7,6
1_10_yeast_extract_malt_extract_agar.yaml	bacterial,fungal	DIFFERENT	2/6 ingredient rows shared; sizes [4, 4]	CultureMech:010428,CultureMech:010486	5,4
1_10_yeast_starch_agar.yaml	bacterial,fungal	EQUIVALENT	same after normalizing ingredient labels and ignoring water	CultureMech:007824,CultureMech:010505	4,3
1_2_tryptic_soy_broth_anaerobic.yaml	bacterial,specialized	DIFFERENT	3/14 ingredient rows shared; sizes [5, 12]	CultureMech:009314,CultureMech:015334	13,5
1_5_yeast_starch_agar.yaml	bacterial,fungal	EQUIVALENT	same after normalizing ingredient labels and ignoring water	CultureMech:008540,CultureMech:010508	4,3
2_glucose_yeast_extract_peptone_agar.yaml	bacterial,fungal	DIFFERENT	7/9 ingredient rows shared; sizes [8, 8]	CultureMech:009517,CultureMech:010522	9,8
2_malt_agar.yaml	bacterial,fungal	DIFFERENT	1/3 ingredient rows shared; sizes [2, 2]	CultureMech:009585,CultureMech:010523	3,2
2asw.yaml	bacterial,algae	DIFFERENT	6/21 ingredient rows shared; sizes [13, 14]	CultureMech:000415,CultureMech:000038	14,13
3n_bbm_v.yaml	bacterial,algae	DIFFERENT	5/17 ingredient rows shared; sizes [7, 15]	CultureMech:000321,CultureMech:000039	15,7
4_malt_agar.yaml	bacterial,fungal	DIFFERENT	1/3 ingredient rows shared; sizes [2, 2]	CultureMech:009038,CultureMech:010514	3,2
a_medium.yaml	bacterial,algae	DIFFERENT	0/47 ingredient rows shared; sizes [10, 37]	CultureMech:008389,CultureMech:000022	38,10
abm.yaml	bacterial,algae	DIFFERENT	5/16 ingredient rows shared; sizes [6, 15]	CultureMech:000327,CultureMech:000040	15,6
acidic_yeast_extract_malt_extract_agar_ph_5_0.yaml	bacterial,fungal	DIFFERENT	0/4 ingredient rows shared; sizes [0, 4]	CultureMech:009798,CultureMech:010525	0,4
acidic_yeast_starch_agar_ph_5_0.yaml	bacterial,fungal	DIFFERENT	0/3 ingredient rows shared; sizes [0, 3]	CultureMech:010249,CultureMech:010549	0,3
aerobic_marine_tryptone_yeast_extract_medium.yaml	bacterial,fungal	EQUIVALENT	same after normalizing ingredient labels and ignoring water	CultureMech:007849,CultureMech:010497	9,8
ajs.yaml	bacterial,algae	DIFFERENT	0/22 ingredient rows shared; sizes [6, 16]	CultureMech:000338,CultureMech:000041	16,6
alkaline_malt_extract_agar.yaml	bacterial,fungal	DIFFERENT	0/9 ingredient rows shared; sizes [4, 5]	CultureMech:007924,CultureMech:010507	6,4
alkaline_tryptone_yeast_extract_medium.yaml	bacterial,fungal	DIFFERENT	0/12 ingredient rows shared; sizes [6, 6]	CultureMech:009971,CultureMech:010537	7,6
alkaline_yeast_extract_malt_extract_agar.yaml	bacterial,fungal	DIFFERENT	1/8 ingredient rows shared; sizes [4, 5]	CultureMech:008373,CultureMech:010552	5,4
alkalophilic_halophile_medium.yaml	bacterial,archaea	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004157,CultureMech:000255	10,10
anaerobic_alkaline_glucose_medium.yaml	bacterial,specialized	DIFFERENT	0/39 ingredient rows shared; sizes [9, 30]	CultureMech:007857,CultureMech:015394	10,30
anaerobic_alkaline_ye_medium.yaml	bacterial,specialized	DIFFERENT	0/33 ingredient rows shared; sizes [12, 21]	CultureMech:007563,CultureMech:015429	13,21
anaerobic_bicarbonate_buffered_medium_with_phenol.yaml	bacterial,specialized	DIFFERENT	0/41 ingredient rows shared; sizes [10, 31]	CultureMech:007549,CultureMech:015428	11,31
anaerobic_brain_heart_infusion_broth.yaml	bacterial,specialized	DIFFERENT	0/12 ingredient rows shared; sizes [3, 9]	CultureMech:010151,CultureMech:015416	10,3
anaerobic_cholesterol_medium.yaml	bacterial,specialized	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006675,CultureMech:015368	29,29
anaerobic_marine_broth_2216.yaml	bacterial,specialized	DIFFERENT	1/8 ingredient rows shared; sizes [4, 5]	CultureMech:010147,CultureMech:015415	6,4
anaerobic_mineral_medium_with_yeast_extract.yaml	bacterial,fungal	DIFFERENT	0/42 ingredient rows shared; sizes [9, 33]	CultureMech:007716,CultureMech:010491	10,33
anaerobic_natural_seawater_medium.yaml	bacterial,specialized	DIFFERENT	0/11 ingredient rows shared; sizes [5, 6]	CultureMech:007700,CultureMech:015380	6,6
anaerobic_sulfolobales_medium.yaml	archaea,specialized	DIFFERENT	1/21 ingredient rows shared; sizes [7, 15]	CultureMech:010119,CultureMech:015414	7,15
anaerobic_thauera_medium.yaml	bacterial,specialized	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004072,CultureMech:015338	33,33
ant.yaml	bacterial,algae	DIFFERENT	6/19 ingredient rows shared; sizes [10, 15]	CultureMech:000349,CultureMech:000042	15,10
artficial_marine_water_medium.yaml	bacterial,specialized	DIFFERENT	0/32 ingredient rows shared; sizes [9, 23]	CultureMech:007728,CultureMech:015384	10,23
artificial_seawater_for_halophiles.yaml	bacterial,archaea	DIFFERENT	11/12 ingredient rows shared; sizes [11, 12]	CultureMech:009844,CultureMech:000298	13,11
