ingredient	rows	distinct_ids	kind	distribution
HEPES	157	2	OTHER	CHEBI:46756 (HEPES) x156; CHEBI:42334 (2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonic acid) x1
Maltose	132	2	OTHER	CHEBI:17306 (maltose) x94; CHEBI:18167 (alpha-maltose) x38
Fructose	60	2	OTHER	CHEBI:28757 (fructose) x39; CHEBI:28645 (beta-D-fructofuranose) x21
Calcium chloride	57	2	OTHER	CHEBI:86158 (calcium chloride dihydrate) x55; CHEBI:3312 (calcium dichloride) x2
Na2S2O3	43	2	HYDRATE	CHEBI:132112 (sodium thiosulfate) x24; CHEBI:32150 (sodium thiosulfate pentahydrate) x19
Lactose	38	2	OTHER	CHEBI:17716 (lactose) x30; CHEBI:36218 (beta-lactose) x8
Arginine	37	2	ION	CHEBI:29016 (arginine) x31; CHEBI:32696 (argininium(1+)) x6
Tricine	35	2	OTHER	CHEBI:46760 (tricine) x30; CHEBI:39063 (N-tris(hydroxymethyl)methylglycine) x5
Inositol	26	2	OTHER	CHEBI:24848 (inositol) x20; CHEBI:17268 (myo-inositol) x6
Xanthine	21	2	OTHER	CHEBI:17712 (9H-xanthine) x15; CHEBI:15318 (xanthine) x6
Na3-EDTA	17	2	OTHER	CHEBI:63125 (EDTA trisodium salt) x15; CHEBI:64734 (EDTA disodium salt (anhydrous)) x2
Dithiothreitol	16	2	OTHER	CHEBI:18320 (1,4-dithiothreitol) x13; CHEBI:42106 (L-1,4-dithiothreitol) x3
Thiamine pyrophosphate	16	2	ION	CHEBI:18290 (thiamine(1+) diphosphate chloride) x14; CHEBI:9532 (thiamine(1+) diphosphate) x2
Calcium Chloride	12	2	OTHER	CHEBI:86158 (calcium chloride dihydrate) x8; CHEBI:3312 (calcium dichloride) x4
N-Acetyl-glutamic acid	10	2	OTHER	CHEBI:172431 (Acetyl-Glu) x9; CHEBI:17533 (N-acetyl-L-glutamic acid) x1
Nitrilotriacetate	10	2	ION	CHEBI:25548 (nitrilotriacetate(3-)) x8; CHEBI:44557 (nitrilotriacetic acid) x2
n-Acetyl-glutamine	10	2	OTHER	CHEBI:73685 (N(2)-acetylglutamine) x9; CHEBI:133362 (N-acetyl-L-methionyl-L-glutaminyl residue) x1
n-Acetyl-lysine	10	2	OTHER	CHEBI:35704 (N(2)-acetyl-L-lysine) x9; CHEBI:61930 (N(6)-acetyl-L-lysine residue) x1
n-Acetyl-muramic acid	10	2	OTHER	CHEBI:47966 (aldehydo-N-acetylmuramic acid) x9; CHEBI:40666 (1,6-anhydro-N-acetyl-beta-muramic acid) x1
sn-glycero-3-phosphocholine	10	2	OTHER	CHEBI:16870 (choline alfoscerate) x9; CHEBI:36702 (2-acyl-1-alkyl-sn-glycero-3-phosphocholine) x1
N-Acetyl-D-glucosamine	8	2	OTHER	CHEBI:506227 (N-acetyl-D-glucosamine) x6; CHEBI:8006 (Peptidoglycan(N-acetyl-D-glucosamine)) x2
Bacto-tryptone	6	2	OTHER	MICRO:0000182 (?) x5; CHEBI:78018 (dodecylphosphocholine) x1
Putrescine	6	2	OTHER	CHEBI:17148 (putrescine) x4; CHEBI:326268 (1,4-butanediammonium) x2
DL-Tryptophan	4	2	ION	CHEBI:57912 (L-tryptophan zwitterion) x2; CHEBI:27897 (tryptophan) x2
Thioglycolate	4	2	ION	CHEBI:30066 (thioglycolate(1-)) x3; CHEBI:47869 (thioglycolate(2-)) x1
Cobalamine	3	2	OTHER	CHEBI:30411 (cobalamin) x2; CHEBI:28911 (cob(III)alamin) x1
H3BO2	3	2	OTHER	CHEBI:38267 (boronic acid) x2; CHEBI:33118 (boric acid) x1
Sodium DL-lactate	3	2	OTHER	CHEBI:75228 (sodium lactate) x2; CHEBI:232798 (sodium L-lactate) x1
