file	preferred_term	from_chebi	to_chebi
data/normalized_yaml/bacterial/mediadive_1000_Solution_B.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_1001_Solution_C.yaml	L-Rhamnose	CHEBI:26546	CHEBI:62345
data/normalized_yaml/bacterial/mediadive_1001_Solution_C.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_1003_Solution_E.yaml	L-Cysteine HCl x H2O	CHEBI:76209	CHEBI:91248
data/normalized_yaml/bacterial/mediadive_1003_Solution_E.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_1004_Main_sol_493.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_1004_Main_sol_493.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_1004_Main_sol_493.yaml	NiCl2 x 6 H2O	CHEBI:36385	CHEBI:34887
data/normalized_yaml/bacterial/mediadive_1004_Main_sol_493.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_1005_Main_sol_494.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_1005_Main_sol_494.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_1005_Main_sol_494.yaml	Sodium resazurin	CHEBI:32599	CHEBI:8806
data/normalized_yaml/bacterial/mediadive_1005_Main_sol_494.yaml	Trimethylamine-HCl	CHEBI:76209	CHEBI:64700
data/normalized_yaml/bacterial/mediadive_1005_Main_sol_494.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_1005_Main_sol_494.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_1007_Solution_A.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_1007_Solution_A.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_1007_Solution_A.yaml	Sodium resazurin	CHEBI:32599	CHEBI:8806
data/normalized_yaml/bacterial/mediadive_1007_Solution_A.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_1009_Solution_B.yaml	Distilled water	CHEBI:6636	CHEBI:15377
