label	from_chebi	to_chebi	action
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
ki	CHEBI:138791	CHEBI:8346	resolve_manual_curated
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
yeast extract	CHEBI:86158	REMOVED	deground
d-glucose	CHEBI:17234	CHEBI:17234	confirm
yeast extract	CHEBI:86158	REMOVED	deground
d-glucose	CHEBI:17234	CHEBI:17234	confirm
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
vitamin b12	CHEBI:176843	CHEBI:176843	confirm
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
dl-dithiothreitol	CHEBI:18320	CHEBI:18320	confirm
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
glucose	CHEBI:17234	CHEBI:17234	confirm
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
baker's yeast	CHEBI:86158	REMOVED	deground
vitamin b12	CHEBI:176843	CHEBI:176843	confirm
d-glucose	CHEBI:17234	CHEBI:17234	confirm
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
mgcl2 x 6 h2o	CHEBI:34887	CHEBI:86345	resolve_corpus_consensus
yeast extract	CHEBI:86158	REMOVED	deground
