finding	file_path	record_id	ingredient	value	unit	parts	detail
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J1227_ZESTOSPHAERA_MEDIUM.yaml	CultureMech:002394	MnCl2 x 4 H2O	0.1018	G_PER_L	0.0018;0.1	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J1227_ZESTOSPHAERA_MEDIUM.yaml	CultureMech:002394	Na2MoO4 x 2 H2O	0.01003	G_PER_L	0.00003;0.01	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J151_PYROCOCCUS_MEDIUM.yaml	CultureMech:002510	NaCl	14.85	G_PER_L	13.85;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J151_PYROCOCCUS_MEDIUM.yaml	CultureMech:002510	MgSO4 x 7 H2O	6.5	G_PER_L	3.5;3.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J151_PYROCOCCUS_MEDIUM.yaml	CultureMech:002510	H3BO3	0.025	G_PER_L	0.015;0.01	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J214_ARCHAEOGLOBUS_PROFUNDUS_MEDIUM.yaml	CultureMech:002576	MgSO4 x 7 H2O	6.45	G_PER_L	3.45;3.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J214_ARCHAEOGLOBUS_PROFUNDUS_MEDIUM.yaml	CultureMech:002576	NaCl	19.0	G_PER_L	18.0;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J243_METHANOTHRIX_MEDIUM.yaml	CultureMech:002604	NaCl	1.588235	G_PER_L	0.588235;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J266_METHANOMICROBIUM_MOBILE_MEDIUM.yaml	CultureMech:002623	NaCl	1.6	G_PER_L	0.6;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J266_METHANOMICROBIUM_MOBILE_MEDIUM.yaml	CultureMech:002623	MgSO4 x 7 H2O	3.13	G_PER_L	0.13;3.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J280_THERMOCOCCUS_MEDIUM.yaml	CultureMech:002638	MgSO4 x 7 H2O	6.33333	G_PER_L	3.33333;3.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J280_THERMOCOCCUS_MEDIUM.yaml	CultureMech:002638	NaCl	25.5098	G_PER_L	24.5098;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J280_THERMOCOCCUS_MEDIUM.yaml	CultureMech:002638	FeSO4 x 7 H2O	0.1245098	G_PER_L	0.0245098;0.1	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J355_METHANOSPHAERA_MEDIUM.yaml	CultureMech:002715	FeSO4 x 7 H2O	0.10295276	G_PER_L	0.00295276;0.1	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J355_METHANOSPHAERA_MEDIUM.yaml	CultureMech:002715	NaCl	1.590551	G_PER_L	0.590551;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J355_METHANOSPHAERA_MEDIUM.yaml	CultureMech:002715	MgSO4 x 7 H2O	3.147638	G_PER_L	0.147638;3.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J355_METHANOSPHAERA_MEDIUM.yaml	CultureMech:002715	CaCl2 x 2 H2O	0.1748032	G_PER_L	0.0748032;0.1	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J986_METHANOCOCCOIDES_MEDIUM.yaml	CultureMech:003335	CaCl2 x 2 H2O	0.237255	G_PER_L	0.137255;0.1	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/JCM_J986_METHANOCOCCOIDES_MEDIUM.yaml	CultureMech:003335	NaCl	18.6471	G_PER_L	17.6471;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/KOMODO_1043_IGNISPHAERA_medium.yaml	CultureMech:003602	MgSO4 x 7 H2O	3.276954	G_PER_L	0.276954;3.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/KOMODO_1083_ACIDULIPROFUNDUM_medium.yaml	CultureMech:003735	NaCl	39.97	G_PER_L	29.97;10.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/KOMODO_1083_ACIDULIPROFUNDUM_medium.yaml	CultureMech:003735	MgSO4 x 7 H2O	33.4965	G_PER_L	3.4965;30.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/KOMODO_1083_ACIDULIPROFUNDUM_medium.yaml	CultureMech:003735	CaCl2 x 2 H2O	1.37962	G_PER_L	0.37962;1.0	value is the sum of differing parts; which one the medium means needs the source recipe
DIFFERING_PARTS	data/normalized_yaml/archaea/KOMODO_119_METHANOBACTERIUM_medium.yaml	CultureMech:003939	Yeast extract	4.996016	G_PER_L	0.996016;4.0	value is the sum of differing parts; which one the medium means needs the source recipe
