chebi_id	culturemech_label	mim_preferred_term	mim_ontology_label
CHEBI:113451	Sodium Ascorbate	Na-ascorbate	Na-ascorbate
CHEBI:113451	Sodium ascorbate	Na-ascorbate	Na-ascorbate
CHEBI:113451	sodium ascorbate	Na-ascorbate	Na-ascorbate
CHEBI:113455	Sodium benzoate	Na-benzoate	Na-benzoate
CHEBI:113455	sodium benzoate	Na-benzoate	Na-benzoate
CHEBI:114126	Sodium caproate	Na-caproate	Na-caproate
CHEBI:115156	Disodium fumarate	Na2-fumarate	Na2-fumarate
CHEBI:115156	Na-fumarate	Na2-fumarate	Na2-fumarate
CHEBI:115156	Sodium fumarate	Na2-fumarate	Na2-fumarate
CHEBI:115156	sodium fumarate	Na2-fumarate	Na2-fumarate
CHEBI:131378	Fe(NH4)2(SO4)2 x 7H2O	Fe(NH4)2(SO4)2 x 7 H2O	Fe(NH4)2(SO4)2 x 7 H2O
CHEBI:131524	MnSO4·5H2O	MnSO4 x 5 H2O	MnSO4 x 5 H2O
CHEBI:131527	Dipotassium Phosphate	K2HPO4 x 3 H2O	K2HPO4 x 3 H2O
CHEBI:131527	Dipotassium hydrogen phosphate	K2HPO4 x 3 H2O	K2HPO4 x 3 H2O
CHEBI:131527	Dipotassium phosphate	K2HPO4 x 3 H2O	K2HPO4 x 3 H2O
CHEBI:131527	K2HPO4	K2HPO4 x 3 H2O	K2HPO4 x 3 H2O
CHEBI:131527	K2HPO4 x 3H2O	K2HPO4 x 3 H2O	K2HPO4 x 3 H2O
CHEBI:131527	K2HPO4x 3 H2O	K2HPO4 x 3 H2O	K2HPO4 x 3 H2O
CHEBI:131527	Potassium phosphate	K2HPO4 x 3 H2O	K2HPO4 x 3 H2O
CHEBI:131531	Pyridoxamine-HCl	Pyridoxamine hydrochloride	Pyridoxamine hydrochloride
CHEBI:131531	Pyridoxine HCl	Pyridoxamine hydrochloride	Pyridoxamine hydrochloride
CHEBI:131531	Pyridoxine-HCl	Pyridoxamine hydrochloride	Pyridoxamine hydrochloride
CHEBI:131531	Pyridoxine·HCl	Pyridoxamine hydrochloride	Pyridoxamine hydrochloride
CHEBI:131531	pyridoxamine-HCl	Pyridoxamine hydrochloride	Pyridoxamine hydrochloride
CHEBI:131531	pyridoxine-HCl	Pyridoxamine hydrochloride	Pyridoxamine hydrochloride
CHEBI:132089	Na2-ß-glycerolphosphate	Sodium beta-glycerophosphate	Sodium beta-glycerophosphate
CHEBI:132095	NaVO3 x n H2O	NaVO3 x H2O	NaVO3 x H2O
CHEBI:132103	Sodium perchlorate	Sodium perchlorate monohydrate	sodium perchlorate
CHEBI:132106	Sodium propionate	Na-propionate	Na-propionate
CHEBI:132106	sodium propionate	Na-propionate	Na-propionate
CHEBI:132108	Na2SiO3·9H2O	Na2SiO3 x 9 H2O	Na2SiO3 x 9 H2O
CHEBI:132112	Na-thiosulfate	Na2S2O3	sodium thiosulfate
CHEBI:132112	NaS2O3	Na2S2O3	sodium thiosulfate
CHEBI:132112	Sodium Thiosulfate	Na2S2O3	sodium thiosulfate
CHEBI:132112	Sodium thiosulfate	Na2S2O3	sodium thiosulfate
CHEBI:132112	Sodium thiosulphate	Na2S2O3	sodium thiosulfate
CHEBI:132112	sodium thiosulfate	Na2S2O3	sodium thiosulfate
CHEBI:132764	Na-oxalate	Disodium oxalate	sodium oxalate
CHEBI:132766	Nitrilotriacetic acid, trisodium salt	0.5 M Nitrilotriacetic acid, disodium salt	sodium nitrilotriacetate
