file_path	record_id	name	kind	source	looks_like_a_solution	name_cites_medium	cited_medium_in_local_dump
archaea/KOMODO_131_METHANOBACTERIUM_THERMOAUTOTROPHICUM_MEDIUM.yaml	CultureMech:004074	METHANOBACTERIUM THERMOAUTOTROPHICUM MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
archaea/KOMODO_304_METHANOSARCINA_ACETIVORANS_medium.yaml	CultureMech:004832	METHANOSARCINA ACETIVORANS medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/KOMODO_510_STYGIOLOBUS_medium.yaml	CultureMech:005712	STYGIOLOBUS medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/aeropyrum_jxt_medium.yaml	CultureMech:006547	AEROPYRUM-JXT medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/metallosphaera_medium.yaml	CultureMech:005608	METALLOSPHAERA medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/methanocorpusculum_medium.yaml	CultureMech:004706	METHANOCORPUSCULUM medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/methanogenium_sp_medium.yaml	CultureMech:005910	METHANOGENIUM SP. medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/methanolobus_ii_medium.yaml	CultureMech:005015	METHANOLOBUS II medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/methanosarcina_acetivorans_medium_replace_trimethylamine_hcl_with_methanol.yaml	CultureMech:004821	METHANOSARCINA ACETIVORANS medium_replace_Trimethylamine-HCl_with_Methanol	no ingredients and no solutions	KOMODO ModelSEED			
archaea/methanosarcina_frisia_medium.yaml	CultureMech:005072	METHANOSARCINA FRISIA medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/methanosarcina_thermophilic_medium.yaml	CultureMech:004191	METHANOSARCINA (thermophilic) medium	no ingredients and no solutions	KOMODO ModelSEED			
archaea/methanosarcina_thermophilic_medium_replace_rumen_fluid_clarified_with_sludge_fluid_medium_119.yaml	CultureMech:004190	METHANOSARCINA (thermophilic) medium_replace_Rumen fluid, clarified_with_Sludge fluid (medium 119)	no ingredients and no solutions	KOMODO ModelSEED		119	yes
archaea/thermophilic_methanosaeta_medium.yaml	CultureMech:005164	THERMOPHILIC METHANOSAETA MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/100x_vitamin_solution_medium_1398.yaml	CultureMech:004994	100x Vitamin solution (medium 1398)	no ingredients and no solutions	KOMODO ModelSEED	yes	1398	yes
bacterial/10_x_m9_salts.yaml	CultureMech:004267	10 x M9 salts	no ingredients and no solutions	KOMODO ModelSEED	yes		
bacterial/4_times_concentrated_sea_water_medium_821.yaml	CultureMech:004993	4 times concentrated sea water (medium 821)	no ingredients and no solutions	KOMODO ModelSEED		821	yes
bacterial/50_x_pye.yaml	CultureMech:006514	50 x PYE	no ingredients and no solutions	KOMODO ModelSEED	yes		
bacterial/50x_heterotrophic_basal_salts_solution_medium_1190.yaml	CultureMech:004779	50x Heterotrophic basal salts solution (medium 1190)	no ingredients and no solutions	KOMODO ModelSEED	yes	1190	yes
bacterial/KOMODO_1254_NAUTILIA_NITRATIREDUCENS_MEDIUM.yaml	CultureMech:004015	NAUTILIA NITRATIREDUCENS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/KOMODO_272_DESULFOVIBRIO_medium_choline.yaml	CultureMech:004700	DESULFOVIBRIO medium (choline)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/KOMODO_3018_H3P-Vitamin_solution_medium_428.yaml	CultureMech:004797	H3P-Vitamin solution (medium 428)	no ingredients and no solutions	KOMODO ModelSEED	yes	428	yes
bacterial/KOMODO_3071_Trace_element_solution_medium_155.yaml	CultureMech:004857	Trace element solution (medium 155)	no ingredients and no solutions	KOMODO ModelSEED	yes	155	yes
bacterial/KOMODO_3077_Trace_element_solution_medium_84.yaml	CultureMech:004863	Trace element solution (medium 84)	no ingredients and no solutions	KOMODO ModelSEED	yes	84	yes
bacterial/KOMODO_3087_Trace_element_solution_SL-8.yaml	CultureMech:004873	Trace element solution SL-8	no ingredients and no solutions	KOMODO ModelSEED	yes		
bacterial/KOMODO_3136_Fastidious_Anaerobe_Agar.yaml	CultureMech:004984	Fastidious Anaerobe Agar	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/KOMODO_7001_Trace_elements_medium_596.yaml	CultureMech:006327	Trace elements (medium 596)	no ingredients and no solutions	KOMODO ModelSEED		596	yes
bacterial/KOMODO_787_ACETOBACTERIUM_DEHALOGENANS_medium.yaml	CultureMech:006488	ACETOBACTERIUM DEHALOGENANS medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/acetobacterium_2_medium.yaml	CultureMech:005062	ACETOBACTERIUM 2 medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/acetobacterium_carbinolicum_medium.yaml	CultureMech:004988	ACETOBACTERIUM CARBINOLICUM medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/acetobacterium_sp_komac1_medium.yaml	CultureMech:005592	ACETOBACTERIUM SP. KoMAc1 medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/acetonema_medium.yaml	CultureMech:005871	ACETONEMA medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/amino_acid_solution_medium_78.yaml	CultureMech:004780	Amino acid solution (medium 78)	no ingredients and no solutions	KOMODO ModelSEED		78	yes
bacterial/anaerobic_acetoin_medium.yaml	CultureMech:005020	ANAEROBIC ACETOIN medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/anaerobic_oxalate_medium.yaml	CultureMech:005624	ANAEROBIC OXALATE MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/anaerovibrio_burkinabensis_medium.yaml	CultureMech:006022	ANAEROVIBRIO BURKINABENSIS medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/artificial_sea_water_3_times_concentrated_medium_1137.yaml	CultureMech:004785	Artificial sea water, 3 times concentrated (medium 1137)	no ingredients and no solutions	KOMODO ModelSEED		1137	yes
bacterial/artificial_sea_water_3_times_concentrated_medium_590.yaml	CultureMech:004389	Artificial sea water, 3 times concentrated (medium 590)	no ingredients and no solutions	KOMODO ModelSEED		590	yes
bacterial/artificial_sea_water_from_a_marine_aquarium_salts_mixture.yaml	CultureMech:005655	Artificial sea water from a marine aquarium salts mixture	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/artificial_sea_water_medium_1075.yaml	CultureMech:004783	Artificial sea water (medium 1075)	no ingredients and no solutions	KOMODO ModelSEED		1075	yes
bacterial/artificial_sea_water_medium_246.yaml	CultureMech:004996	Artificial sea water (medium 246)	no ingredients and no solutions	KOMODO ModelSEED		246	yes
bacterial/artificial_sea_water_medium_343.yaml	CultureMech:004782	Artificial sea water (medium 343)	no ingredients and no solutions	KOMODO ModelSEED		343	yes
bacterial/artificial_sea_water_medium_405.yaml	CultureMech:004784	Artificial sea water (medium 405)	no ingredients and no solutions	KOMODO ModelSEED		405	yes
bacterial/artificial_sea_water_medium_600.yaml	CultureMech:004395	Artificial sea water (medium 600)	no ingredients and no solutions	KOMODO ModelSEED		600	yes
bacterial/artificial_sea_water_medium_600a.yaml	CultureMech:004995	Artificial sea water (medium 600a)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/artificial_sea_water_medium_607.yaml	CultureMech:004781	Artificial sea water (medium 607)	no ingredients and no solutions	KOMODO ModelSEED		607	yes
