ingredient	kind	rows	records	example_record	has_local_term	section
See source for composition	PLACEHOLDER	4775	4775	CultureMech:000062	no	ingredients
Agar (if needed)	UNRESOLVED_CHEMICAL	289	289	CultureMech:008628	no	ingredients
Trace vitamins (see Medium [M190])	CROSS_REFERENCE	284	283	CultureMech:007553	no	solutions
Seven vitamins solution	SOLUTION_NAME	179	179	CultureMech:004073	no	solutions
5% Na2S・9H2O solution	SOLUTION_NAME	169	169	CultureMech:007605	no	solutions
Calf brains	UNRESOLVED_CHEMICAL	164	164	CultureMech:007623	yes	ingredients
8% NaHCO3 solution*	SOLUTION_NAME	125	125	CultureMech:015860	no	ingredients
Trace element solution (see Medium [M180])	CROSS_REFERENCE	117	117	CultureMech:007553	no	solutions
FeCl2 solution (see Medium [M180])	CROSS_REFERENCE	113	113	CultureMech:007553	no	solutions
Trace minerals (see Medium [M142])	CROSS_REFERENCE	111	111	CultureMech:007842	no	solutions
Na-resazurin solution (0.1% w/v)	SOLUTION_NAME	90	90	CultureMech:008808	no	solutions
Sea Salt	UNRESOLVED_CHEMICAL	90	90	CultureMech:000529	no	ingredients
Selenite--tungstate solution (see Medium [M431])	CROSS_REFERENCE	85	85	CultureMech:007553	no	solutions
PPLO broth	UNRESOLVED_CHEMICAL	83	83	CultureMech:002467	no	ingredients
Casamino acids (BD-Difco)	UNRESOLVED_CHEMICAL	82	82	CultureMech:007537	no	ingredients
HCl (25%; 7.7 M)	UNRESOLVED_CHEMICAL	75	75	CultureMech:009039	no	ingredients
Iron(III) chloride	UNRESOLVED_CHEMICAL	75	75	CultureMech:007383	no	ingredients
CMRL 1066	UNRESOLVED_CHEMICAL	74	74	CultureMech:002564	no	ingredients
DI Water	UNRESOLVED_CHEMICAL	72	72	CultureMech:009048	no	ingredients
N2 gas	UNRESOLVED_CHEMICAL	71	71	CultureMech:009133	no	ingredients
Trace salt solution	SOLUTION_NAME	61	61	CultureMech:005991	no	solutions
[1,1′-Biphenyl]-2-ol	UNRESOLVED_CHEMICAL	59	59	CultureMech:005566	no	ingredients
KOH solution	SOLUTION_NAME	57	57	CultureMech:007968	no	solutions
Hipolypepton*	UNRESOLVED_CHEMICAL	57	57	CultureMech:008189	no	solutions
Horse blood	UNRESOLVED_CHEMICAL	52	52	CultureMech:003807	no	ingredients
8% NaHCO3 solution	SOLUTION_NAME	49	49	CultureMech:015863	no	ingredients
Vitamin B12 solution (see Medium [M401])	CROSS_REFERENCE	44	44	CultureMech:010380	no	solutions
Wolin's vitamin solution (10x)	SOLUTION_NAME	42	42	CultureMech:004073	no	solutions
Oxygen gas	UNRESOLVED_CHEMICAL	42	42	CultureMech:007686	no	ingredients
Trace element solution (see Medium [M439])	CROSS_REFERENCE	42	42	CultureMech:007760	no	solutions
Wolfe's mineral elixir	SOLUTION_NAME	41	41	CultureMech:003735	no	solutions
Na2CO3 solution	SOLUTION_NAME	40	40	CultureMech:007581	no	solutions
5% Na2S·9H2O solution	SOLUTION_NAME	39	38	CultureMech:015840	no	ingredients
5% L--Cysteine・HCl・H2O solution	SOLUTION_NAME	35	35	CultureMech:007605	no	solutions
Vitamin solution (see Medium [M401])	CROSS_REFERENCE	34	34	CultureMech:010380	no	solutions
ZMB_ALS	UNRESOLVED_CHEMICAL	33	33	CultureMech:015795	no	ingredients
Trace element solution (see below)	SOLUTION_NAME	32	32	CultureMech:007671	no	solutions
