signal	key	variants
A_name_multi_chebi	mgso4 x 7 h2o	{'CHEBI:31795': 3077, 'CHEBI:32599': 127}
A_name_multi_chebi	na2moo4 x 2 h2o	{'CHEBI:75213': 2878, 'CHEBI:75215': 137}
A_name_multi_chebi	vitamin b12	{'CHEBI:17439': 1987, 'CHEBI:176843': 356}
A_name_multi_chebi	glucose	{'CHEBI:17234': 1627, 'CHEBI:42758': 516}
A_name_multi_chebi	mgcl2 x 6 h2o	{'CHEBI:86345': 1995, 'CHEBI:6636': 87}
A_name_multi_chebi	na2seo3 x 5 h2o	{'CHEBI:131361': 1228, 'CHEBI:48843': 73}
A_name_multi_chebi	calcium pantothenate	{'CHEBI:31345': 998, 'CHEBI:3374': 7}
A_name_multi_chebi	starch	{'CHEBI:28017': 577, 'CHEBI:85248': 29}
A_name_multi_chebi	d-glucose	{'CHEBI:17634': 459, 'CHEBI:42758': 138}
A_name_multi_chebi	dipotassium phosphate	{'CHEBI:131527': 475, 'CHEBI:63036': 1}
A_name_multi_chebi	kno3	{'CHEBI:58242': 309, 'CHEBI:17632': 98}
A_name_multi_chebi	nano3	{'CHEBI:63005': 147, 'CHEBI:59148': 245}
A_name_multi_chebi	cacl2·2h2o	{'CHEBI:86158': 358, 'CHEBI:64183': 1}
A_name_multi_chebi	boric acid	{'CHEBI:33118': 164, 'CHEBI:33134': 161}
A_name_multi_chebi	fe(iii) citrate	{'CHEBI:144421': 265, 'CHEBI:4991': 6}
A_name_multi_chebi	dextrose	{'CHEBI:17234': 157, 'CHEBI:4167': 74, 'CHEBI:42758': 27}
A_name_multi_chebi	calcium chloride dihydrate	{'CHEBI:86158': 227, 'CHEBI:3312': 2}
A_name_multi_chebi	d(+)-glucose	{'CHEBI:17634': 224, 'CHEBI:42758': 3}
A_name_multi_chebi	magnesium sulfate heptahydrate	{'CHEBI:31795': 58, 'CHEBI:32599': 2, 'CHEBI:86463': 160}
A_name_multi_chebi	hepes	{'CHEBI:46756': 153, 'CHEBI:42334': 65, 'CHEBI:143268': 1}
A_name_multi_chebi	na2seo4	{'CHEBI:59160': 104, 'CHEBI:77775': 108}
A_name_multi_chebi	mgcl2·6h2o	{'CHEBI:86345': 204, 'CHEBI:6635': 1}
A_name_multi_chebi	iron (ii) sulfate heptahydrate	{'CHEBI:75836': 168, 'CHEBI:75832': 5}
