surface	file	locator	id	current_label	canonical_label	verdict	policy	detail
normalized_yaml	data/normalized_yaml/algae/2asw.yaml	2asw.yaml.ingredients[0].term.id	CHEBI:34545	NaNO	Azimilide	IMPLAUSIBLE_LABEL	canonical	label elements conflict with C23H28ClN5O3
normalized_yaml	data/normalized_yaml/algae/2asw.yaml	2asw.yaml.ingredients[1].term.id	CHEBI:34683	Na HPO	disodium hydrogenphosphate	LABEL_SUBSCRIPTS_LOST	canonical	same elements as HO4P.2Na, wrong counts
normalized_yaml	data/normalized_yaml/algae/2asw.yaml	2asw.yaml.ingredients[2].term.id	CHEBI:32030	K HPO	potassium bromide	IMPLAUSIBLE_LABEL	canonical	label elements conflict with Br.K
normalized_yaml	data/normalized_yaml/algae/2asw.yaml	2asw.yaml.ingredients[11].term.id	CHEBI:35920	Tricine	berbaman	IMPLAUSIBLE_LABEL	canonical	no word shared with 'berbaman'
normalized_yaml	data/normalized_yaml/algae/3n_bbm_v.yaml	3n_bbm_v.yaml.ingredients[1].term.id	CHEBI:30527	FeCl .6H O	flavin	IMPLAUSIBLE_LABEL	canonical	no word shared with 'flavin'
normalized_yaml	data/normalized_yaml/algae/3n_bbm_v.yaml	3n_bbm_v.yaml.ingredients[2].term.id	CHEBI:86457	MnCl .4H O	2-hydroxybenzoyl-AMP	IMPLAUSIBLE_LABEL	canonical	no word shared with '2-hydroxybenzoyl-AMP'
normalized_yaml	data/normalized_yaml/algae/3n_bbm_v.yaml	3n_bbm_v.yaml.ingredients[3].term.id	CHEBI:49976	ZnCl	zinc dichloride	LABEL_SUBSCRIPTS_LOST	canonical	same elements as 2Cl.Zn, wrong counts
normalized_yaml	data/normalized_yaml/algae/3n_bbm_v.yaml	3n_bbm_v.yaml.ingredients[4].term.id	CHEBI:35696	CoCl .6H O	cobalt dichloride	IMPLAUSIBLE_LABEL	canonical	no word shared with 'cobalt dichloride'
normalized_yaml	data/normalized_yaml/algae/3n_bbm_v.yaml	3n_bbm_v.yaml.ingredients[5].term.id	CHEBI:75216	Na MoO .2H O	1-O-octadecyl-sn-glycero-3-phosphocholine	IMPLAUSIBLE_LABEL	canonical	no word shared with '1-O-octadecyl-sn-glycero-3-phosphocholine'
normalized_yaml	data/normalized_yaml/algae/CCAP_ASW 150 + barley  + barley grain_).yaml	CCAP_ASW 150 + barley  + barley grain_).yaml.ingredients[2].term.id	CHEBI:86345	MgCl .6H O	magnesium dichloride hexahydrate	IMPLAUSIBLE_LABEL	canonical	no word shared with 'magnesium dichloride hexahydrate'
normalized_yaml	data/normalized_yaml/algae/CCAP_ASW 150 + barley  + barley grain_).yaml	CCAP_ASW 150 + barley  + barley grain_).yaml.ingredients[4].term.id	CHEBI:64183	CaCl .2H O	ubiquinol-10	IMPLAUSIBLE_LABEL	canonical	no word shared with 'ubiquinol-10'
normalized_yaml	data/normalized_yaml/algae/CCAP_ASW 225 + barley  + barley grain_).yaml	CCAP_ASW 225 + barley  + barley grain_).yaml.ingredients[1].term.id	CHEBI:86345	MgCl .6H O	magnesium dichloride hexahydrate	IMPLAUSIBLE_LABEL	canonical	no word shared with 'magnesium dichloride hexahydrate'
normalized_yaml	data/normalized_yaml/algae/CCAP_ASW 225 + barley  + barley grain_).yaml	CCAP_ASW 225 + barley  + barley grain_).yaml.ingredients[3].term.id	CHEBI:64183	CaCl .2H O	ubiquinol-10	IMPLAUSIBLE_LABEL	canonical	no word shared with 'ubiquinol-10'
normalized_yaml	data/normalized_yaml/algae/CCAP_ASW 300 + barley  + barley grain_).yaml	CCAP_ASW 300 + barley  + barley grain_).yaml.ingredients[2].term.id	CHEBI:86345	MgCl .6H O	magnesium dichloride hexahydrate	IMPLAUSIBLE_LABEL	canonical	no word shared with 'magnesium dichloride hexahydrate'
normalized_yaml	data/normalized_yaml/algae/CCAP_ASW 300 + barley  + barley grain_).yaml	CCAP_ASW 300 + barley  + barley grain_).yaml.ingredients[4].term.id	CHEBI:64183	CaCl .2H O	ubiquinol-10	IMPLAUSIBLE_LABEL	canonical	no word shared with 'ubiquinol-10'
normalized_yaml	data/normalized_yaml/algae/CCAP_C Medium_ Modified.yaml	CCAP_C Medium_ Modified.yaml.ingredients[1].term.id	CHEBI:30527	FeCl .6H O	flavin	IMPLAUSIBLE_LABEL	canonical	no word shared with 'flavin'
normalized_yaml	data/normalized_yaml/algae/CCAP_C Medium_ Modified.yaml	CCAP_C Medium_ Modified.yaml.ingredients[2].term.id	CHEBI:86457	MnCl .4H O	2-hydroxybenzoyl-AMP	IMPLAUSIBLE_LABEL	canonical	no word shared with '2-hydroxybenzoyl-AMP'
normalized_yaml	data/normalized_yaml/algae/CCAP_C Medium_ Modified.yaml	CCAP_C Medium_ Modified.yaml.ingredients[4].term.id	CHEBI:35696	CoCl .6H O	cobalt dichloride	IMPLAUSIBLE_LABEL	canonical	no word shared with 'cobalt dichloride'
normalized_yaml	data/normalized_yaml/algae/CCAP_C Medium_ Modified.yaml	CCAP_C Medium_ Modified.yaml.ingredients[5].term.id	CHEBI:75216	Na MoO .2H O	1-O-octadecyl-sn-glycero-3-phosphocholine	IMPLAUSIBLE_LABEL	canonical	no word shared with '1-O-octadecyl-sn-glycero-3-phosphocholine'
