yaml_path	category_dir	record_kind	record_shape	id	name	preferred_term	original_name	missing_name	missing_composition	media_term_id	medium_type	physical_state	ingredient_count	solution_count	top_level_solution_component_count	solution_component_count	total_component_count	malformed_component_count	missing_component_name_count	ingredient_term_count	ingredient_chebi_term_count	ingredient_non_chebi_term_count	mediaingredientmech_count	culturemech_component_count	parent_ingredient_count	variant_type_count	concentration_count	solution_concentration_count	solution_concentration_candidate_count	missing_concentration_count	missing_solution_concentration_count	missing_solution_concentration_with_candidates_count	missing_solution_concentration_without_candidates_count	malformed_concentration_count	missing_concentration_value_count	missing_concentration_unit_count	non_schema_concentration_unit_count	variable_concentration_count	variable_solution_concentration_count	unresolved_concentration_count	unresolved_solution_concentration_count	concentration_units	unexpected_ingredient_keys	embedded_variant_count	has_merge_fingerprint	has_chemical_fingerprint	has_variant_fingerprint	ingredient_identity_signature	ingredient_concentration_signature	review_status	issue_count	issue_codes	issue_locations	load_error
data/normalized_yaml/algae/1_1_dyiii_pea_gr_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000001	1_1_dyiii_pea_gr_medium		1:1 DYIII/PEA + Gr+ Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/1_2_CHEV_Diatom_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000002	1_2_chev_diatom_medium		1/2 CHEV Diatom Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/1_2_Enriched_Seawater.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000003	1_2_enriched_seawater		1/2 Enriched Seawater	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/1_2_Erdschreiber_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000004	1_2_erdschreiber_medium		1/2 Erdschreiber Medium	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/1_2_soil_seawater_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000005	1_2_soil_seawater_medium		1/2 Soil + Seawater Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/1_3_CHEV_Diatom_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000006	1_3_chev_diatom_medium		1/3 CHEV Diatom Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/1_3_soil_seawater_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000007	1_3_soil_seawater_medium		1/3 Soil + Seawater Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/1_4_erdschreibers_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000008	1_4_erdschreibers_medium		1/4 Erdschreiber's Medium	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/1_4_soil_seawater_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000009	1_4_soil_seawater_medium		1/4 Soil + Seawater Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/1_5_CHEV_Diatom_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000010	1_5_chev_diatom_medium		1/5 CHEV Diatom Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
