path	writes_yaml	appends_curation_history	has_dry_run	validates_before_write	wired_into_just
scripts/add_metal_ree_labels.py	yes	no	no	no	no
scripts/aggregate_mapped_ingredients.py	yes	no	no	no	yes
scripts/aggregate_unmapped_ingredients.py	yes	no	no	no	yes
scripts/analyze_metal_concentrations.py	yes	no	no	no	no
scripts/apply_edison_results.py	yes	yes	yes	no	no
scripts/apply_growth_evidence.py	yes	yes	no	no	yes
scripts/apply_media_variant_links.py	yes	yes	no	no	yes
scripts/assign_culturemech_ids.py	yes	yes	yes	no	yes
scripts/assign_taxonomy.py	yes	no	yes	no	no
scripts/audit_writers.py	yes	yes	yes	yes	no
scripts/build_media_content_review_manifest.py	yes	no	no	no	yes
scripts/build_media_growth_review_manifest.py	yes	no	no	no	no
scripts/cleanup_media_quality.py	yes	yes	no	no	no
scripts/cleanup_recipe_ingredients.py	yes	no	yes	no	yes
scripts/cleanup_residual_errors.py	yes	yes	yes	no	no
scripts/compare_fingerprints.py	yes	no	no	no	no
scripts/create_recipe_from_input.py	yes	yes	yes	no	no
scripts/enrich_genome_ids.py	yes	no	no	no	yes
scripts/enrich_solutions_with_chebi.py	yes	yes	yes	no	no
scripts/enrich_with_chebi.py	yes	yes	yes	no	yes
scripts/enrich_with_kg_microbe_matches.py	yes	yes	yes	no	no
scripts/fetch_pubmed_abstracts.py	yes	no	yes	no	yes
scripts/fix_schema_inconsistencies.py	yes	yes	yes	yes	no
scripts/fix_validation_errors.py	yes	no	yes	yes	yes
scripts/generate_sssom_mappings.py	yes	no	no	no	yes
scripts/import_from_communitymech.py	yes	yes	yes	no	no
scripts/import_from_culturebotht.py	yes	yes	yes	no	no
scripts/import_mediadive_solutions.py	yes	no	yes	no	no
scripts/infer_ph_values.py	yes	yes	yes	no	no
scripts/infer_sterilization_method.py	yes	yes	yes	no	no
scripts/migrate_data_quality_flags.py	yes	yes	yes	no	no
scripts/migrate_growth_metrics_v2.py	yes	no	no	no	no
scripts/migrate_legacy_fields.py	yes	yes	yes	no	no
scripts/migrate_ontology_term_rename.py	yes	yes	yes	no	no
scripts/migrate_preparation_steps.py	yes	yes	yes	no	no
scripts/migrate_solutions_from_ingredients.py	yes	yes	yes	no	no
scripts/monitor_merges.py	yes	no	no	no	no
scripts/normalize_media_names_to_snake_case.py	yes	yes	yes	no	no
scripts/propose_growth_evidence.py	yes	no	no	no	yes
scripts/remove_invalid_chebi_ids.py	yes	yes	yes	no	yes
scripts/resolve_unit_conflicts.py	yes	yes	no	no	no
scripts/tag_placeholder_recipes.py	yes	yes	yes	no	yes
scripts/test_merge_modes.py	yes	no	no	no	no
scripts/undo_merge.py	yes	no	yes	no	no
scripts/update_communitymech_links.py	yes	no	yes	no	no
scripts/validate_hierarchy_integration.py	yes	no	no	yes	no
scripts/validate_media_variant_links.py	yes	no	no	no	yes
scripts/validate_merge_quality.py	yes	no	no	no	no
src/culturemech/import/atcc_importer.py	yes	yes	no	no	yes
src/culturemech/import/bacdive_importer.py	yes	yes	no	no	yes
src/culturemech/import/ccap_importer.py	yes	yes	no	no	yes
src/culturemech/import/import_cofactors.py	yes	no	no	no	yes
src/culturemech/import/import_ingredient_roles.py	yes	no	yes	no	yes
src/culturemech/import/komodo_importer.py	yes	yes	no	no	yes
src/culturemech/import/komodo_web_importer.py	yes	yes	no	no	yes
src/culturemech/import/mediadb_importer.py	yes	yes	no	no	yes
src/culturemech/import/mediadive_importer.py	yes	yes	no	no	yes
src/culturemech/import/nbrc_importer.py	yes	yes	no	no	yes
src/culturemech/import/sag_importer.py	yes	yes	no	no	yes
src/culturemech/import/togo_importer.py	yes	yes	no	no	yes
src/culturemech/import/utex_importer.py	yes	yes	no	no	yes
src/culturemech/enrich/backfill_pipeline.py	yes	yes	yes	no	no
src/culturemech/enrich/dsmz_resolver.py	yes	yes	yes	no	no
src/culturemech/enrich/fix_unnamed_and_physical_state.py	yes	yes	yes	no	no
src/culturemech/enrich/hierarchy_enricher.py	yes	yes	yes	no	no
src/culturemech/enrich/mediaingredientmech_linker.py	yes	yes	yes	no	no
src/culturemech/enrich/normalize_enums.py	yes	yes	yes	no	no
src/culturemech/enrich/preparation_steps_extractor.py	yes	yes	yes	no	no
src/culturemech/enrich/role_importer.py	yes	yes	yes	no	no
src/culturemech/merge/merge_recipes.py	yes	yes	yes	no	yes
