chebi_id,label,formula,molecular_weight,charge
CHEBI:2509,agar,,,
CHEBI:2511,agarose,(C12H18O9)n.C12H20O10,630.549,0
CHEBI:2682,amphotericin B,C47H73NO17,924.091,0
CHEBI:3311,calcium carbonate,CO3.Ca,100.086,0
CHEBI:3312,calcium dichloride,Ca.2Cl,110.984,0
CHEBI:4178,D-glucuronic acid,C6H10O7,194.139,0
CHEBI:4735,ethylenediaminetetraacetic acid,C10H16N2O8,292.244,0
CHEBI:5291,gelatin,,,
CHEBI:6104,kanamycin,,,
CHEBI:6109,kanamycin A sulfate,C18H36N4O11.H2O4S,582.582,0
CHEBI:6636,magnesium dichloride,2Cl.Mg,95.211,0
CHEBI:6637,magnesium dihydroxide,2HO.Mg,58.319,0
CHEBI:6650,malic acid,C4H6O5,134.087,0
CHEBI:6731,melezitose,C18H32O16,504.438,0
CHEBI:6872,methylene blue,C16H18N3S.Cl,319.861,0
CHEBI:7507,neomycin,,,
CHEBI:7916,pantothenic acid,C9H17NO5,219.237,0
CHEBI:8006,Peptidoglycan(N-acetyl-D-glucosamine),C34H60N8O18,868.892,0
CHEBI:8310,Polymyxin B sulfate,C55H95N16O13R.(H2O4S)x,,
CHEBI:8346,potassium iodide,I.K,166.002,0
CHEBI:8806,Resazurin,C12H7NO4,229.191,0
CHEBI:9215,spectinomycin,C14H24N2O7,332.353,0
CHEBI:9532,thiamine(1+) diphosphate,C12H19N4O7P2S,425.32,1
CHEBI:9679,tricalcium bis(phosphate),3Ca.2O4P,310.174,0
CHEBI:9754,tris,C4H11NO3,121.136,0
CHEBI:12936,D-galactose,C6H12O6,180.156,0
CHEBI:14314,D-glucose 6-phosphate,C6H13O9P,260.136,0
CHEBI:15226,tetrathionate(2-),O6S4,224.262,-2
CHEBI:15318,xanthine,C5H4N4O2,152.111,0
CHEBI:15346,coenzyme A,C21H36N7O16P3S,767.541,0
CHEBI:15347,acetone,C3H6O,58.08,0
CHEBI:15354,choline,C5H14NO,104.173,1
CHEBI:15356,cysteine,C3H7NO2S,121.161,0
CHEBI:15361,pyruvate,C3H3O3,87.054,-1
CHEBI:15366,acetic acid,C2H4O2,60.052,0
CHEBI:15377,water,H2O,18.015,0
CHEBI:15422,ATP,C10H16N5O13P3,507.182,0
CHEBI:15428,glycine,C2H5NO2,75.067,0
CHEBI:15443,inulin,(C12H20O11)n,,
CHEBI:15447,(1->4)-beta-D-xylan,(C5H8O4)n.H2O,150.13,0
CHEBI:15570,D-alanine,C3H7NO2,89.094,0
CHEBI:15595,malate(2-),C4H4O5,132.071,-2
CHEBI:15603,L-leucine,C6H13NO2,131.175,0
CHEBI:15640,5-formyltetrahydrofolic acid,C20H23N7O7,473.446,0
CHEBI:15671,L-tartaric acid,C4H6O6,150.086,0
CHEBI:15676,allantoin,C4H6N4O3,158.117,0
CHEBI:15688,acetoin,C4H8O2,88.106,0
CHEBI:15728,4-guanidinobutanoic acid,C5H11N3O2,145.162,0
CHEBI:15729,L-ornithine,C5H12N2O2,132.163,0
CHEBI:15741,succinic acid,C4H6O4,118.088,0
CHEBI:15824,D-fructose,C6H12O6,180.156,0
CHEBI:15846,NAD(+),C21H28N7O14P2,664.438,1
CHEBI:15882,phenol,C6H6O,94.113,0
CHEBI:15887,5-aminopentanoic acid,C5H11NO2,117.148,0
CHEBI:15891,taurine,C2H7NO3S,125.149,0
CHEBI:15903,beta-D-glucose,C6H12O6,180.156,0
CHEBI:15940,nicotinic acid,C6H5NO2,123.111,0
CHEBI:15956,biotin,C10H16N2O3S,244.316,0
CHEBI:15971,L-histidine,C6H9N3O2,155.157,0
CHEBI:15978,sn-glycerol 3-phosphate,C3H9O6P,172.073,0
